Attributes,Close,High,Low,Open,Volume
Symbols,TREX.US,TREX.US,TREX.US,TREX.US,TREX.US
Date,,,,,
2022-02-09,93.42,94.71,92.18,92.18,712904
2022-02-10,86.18,91.81,85.42,90.81,1703306
2022-02-11,85.29,89.815,84.0,87.31,1304572
2022-02-14,87.14,89.0,85.43,85.47,1182396
2022-02-15,88.62,89.98,88.03,88.39,873675
2022-02-16,91.63,92.5685,88.04,89.0,1246702
2022-02-17,89.17,91.5,88.92,90.05,1084689
2022-02-18,85.42,89.515,85.18,89.25,907608
2022-02-22,83.29,85.98,82.88,84.6,1254175
2022-02-23,82.01,85.2,81.94,84.52,1170947
2022-02-24,86.54,87.32,78.2,79.45,1391958
2022-02-25,90.37,90.58,86.4,86.56,927194
2022-02-28,91.84,92.93,88.84,88.84,1580137
2022-03-01,83.15,87.5,81.61,87.45,2100848
2022-03-02,82.13,84.12,82.06,82.76,1392601
2022-03-03,76.73,83.3471,75.8,83.0,2068183
2022-03-04,74.68,77.9,73.65,76.67,2316101
2022-03-07,68.73,75.3,68.61,74.64,2233898
2022-03-08,68.44,71.79,67.77,68.91,1408170
2022-03-09,75.62,75.84,70.21,70.21,1314142
2022-03-10,76.23,76.33,73.06,73.33,1605787
2022-03-11,74.04,77.95,73.05,77.95,1541186
2022-03-14,72.1,74.87,70.92,74.1,886838
2022-03-15,72.84,73.0,70.49,71.82,1021437
2022-03-16,76.37,78.28,72.5,74.49,1427385
2022-03-17,78.72,78.79,75.5,76.03,801344
2022-03-18,80.37,81.19,77.51,78.04,1654148
2022-03-21,76.04,79.1599,75.41,78.79,1203435
2022-03-22,76.06,78.0,75.23,76.04,1504052
2022-03-23,70.34,75.36,70.0,75.33,1738597
2022-03-24,70.0,72.55,68.58,71.22,1330605
2022-03-25,68.96,70.73,67.0,70.47,1252449
2022-03-28,71.05,71.16,66.95,67.2,1574352
2022-03-29,74.0,78.09,73.0,73.0,1678022
2022-03-30,70.52,73.0,70.23,72.88,1106034
2022-03-31,65.33,70.88,65.25,70.64,2307289
2022-04-01,65.91,66.54,64.67,66.16,1794100
2022-04-04,67.54,69.205,66.265,66.3,2122152
2022-04-05,64.53,66.88,63.92,66.25,1912916
2022-04-06,66.14,67.41,61.28,64.34,3441112
2022-04-07,64.43,67.22,62.9201,65.5,1684553
2022-04-08,63.33,66.64,63.065,63.64,1353665
2022-04-11,63.67,66.5,62.0488,62.29,1094535
2022-04-12,62.75,66.24,62.55,64.99,901491
2022-04-13,64.48,65.03,62.43,62.57,1126355
2022-04-14,60.99,64.875,60.86,64.09,1336199
2022-04-18,61.6,62.435,60.61,60.76,1114759
2022-04-19,63.73,64.61,61.77,61.77,1462278
2022-04-20,63.63,65.82,63.15,64.25,1267464
2022-04-21,61.58,65.1573,61.185,64.51,1020877
2022-04-22,60.58,62.88,60.47,61.83,1126221
2022-04-25,61.29,61.7,57.965,58.41,1155078
2022-04-26,57.51,61.64,57.09,60.77,1391413
2022-04-27,57.03,58.865,55.66,57.44,1467617
2022-04-28,61.17,61.23,56.09,58.05,1831652
2022-04-29,58.19,61.8,58.06,60.57,1035570
2022-05-02,59.32,59.475,57.25,58.47,1580751
2022-05-03,58.64,59.66,57.62,59.46,1101781
2022-05-04,62.14,62.21,57.7,58.79,1102898
2022-05-05,55.98,61.45,55.0,60.79,1566952
2022-05-06,55.47,56.18,51.76,55.9,1819227
2022-05-09,55.68,57.07,54.41,54.83,1711978
2022-05-10,58.63,64.26,55.69,61.72,3683291
2022-05-11,56.05,60.95,55.88,58.9,2344691
2022-05-12,60.84,61.0,55.3,55.41,1860666
2022-05-13,62.8,64.273,61.59,61.65,1734073
2022-05-16,59.35,62.57,58.15,60.98,1105032
2022-05-17,61.02,62.87,58.57,61.11,1135130
2022-05-18,60.15,61.7599,59.27,60.02,1223273
2022-05-19,61.96,64.34,59.85,60.0,1239314
2022-05-20,60.71,63.87,59.08,63.54,1384938
2022-05-23,61.38,61.59,59.6,61.17,821019
2022-05-24,60.08,61.49,58.42,60.98,702635
2022-05-25,62.5,62.95,59.76,59.79,825356
2022-05-26,65.31,65.63,62.24,62.48,884605
2022-05-27,65.72,67.78,65.05,66.06,892871
2022-05-31,63.72,65.6,62.07,64.85,1020782
2022-06-01,62.32,64.64,61.77,64.44,747938
2022-06-02,64.91,64.97,63.12,63.15,787431
2022-06-03,64.65,65.225,63.23,63.32,678531
